slug,region,place_rating,current_images,target_images,gap,licensed_gallery_items,source_urls,technical_review,google_identity_review,status
batumi-botanical-garden,adjara,5.0,3,8,5,2,3,pending,pending,pending
batumi-boulevard-old-town,adjara,5.0,3,8,5,2,3,pending,pending,pending
bazaleti-lake,mtskheta-mtianeti,4.0,2,6,4,1,2,pending,pending,pending
bebris-tsikhe,mtskheta-mtianeti,4.5,3,7,4,2,3,pending,pending,pending
becho-mazeri,samegrelo-zemo-svaneti,4.5,7,7,0,6,7,passed-2026-08-31,verified-2026-08-31,complete
beshumi,adjara,4.5,1,7,6,0,1,pending,pending,pending
betania-monastery,tbilisi,5.0,3,8,5,2,3,pending,pending,pending
betlemi-quarter,tbilisi,3.5,4,4,0,3,4,pending,pending,pending
birtvisi-fortress,kvemo-kartli,5.0,4,8,4,3,4,pending,pending,pending
bodbe-monastery,kakheti,4.0,2,6,4,1,2,pending,pending,pending
bolnisi-sioni,kvemo-kartli,3.5,4,4,0,3,4,pending,pending,pending
bolnisi-town,kvemo-kartli,4.0,2,6,4,1,2,pending,pending,pending
borjomi-central-park,samtskhe-javakheti,4.0,2,6,4,1,1,pending,pending,pending
borjomi-kharagauli-national-park,samtskhe-javakheti,4.0,4,6,2,3,4,pending,pending,pending
bridge-of-peace-rike-park,tbilisi,4.0,1,6,5,0,1,pending,pending,pending
chalaadi-glacier,samegrelo-zemo-svaneti,4.5,7,7,0,6,7,passed-2026-08-31,verified-2026-08-31,complete
chateau-mukhrani,mtskheta-mtianeti,4.0,2,6,4,1,2,pending,pending,pending
chiatura-cable-cars,imereti,4.0,4,6,2,3,4,pending,pending,pending
chiora,racha-lechkhumi,4.0,1,6,5,0,1,pending,pending,pending
chokhatauri,guria,4.0,2,6,4,1,2,pending,pending,pending
chronicle-of-georgia,tbilisi,3.0,4,4,0,3,4,pending,pending,pending
dadiani-palace-zugdidi,samegrelo-zemo-svaneti,3.5,4,4,0,3,4,passed-2026-08-31,verified-2026-08-31,complete
dandalo-arched-bridge,adjara,3.0,2,4,2,1,2,pending,pending,pending
dariali-gorge-gveleti-waterfalls,mtskheta-mtianeti,4.0,4,6,2,3,4,pending,pending,pending
dartlo,kakheti,4.5,4,7,3,3,4,pending,pending,pending
dashbashi-canyon,kvemo-kartli,5.0,5,8,3,4,5,pending,pending,pending
david-gareja,kakheti,4.0,3,6,3,2,3,pending,pending,pending
didgori-battle-memorial,kvemo-kartli,4.5,3,7,4,2,3,pending,pending,pending
dmanisi,kvemo-kartli,4.0,2,6,4,1,2,pending,pending,pending
dry-bridge-market,tbilisi,3.5,2,4,2,1,2,pending,pending,pending
dzveli-shuamta,kakheti,3.5,2,4,2,1,2,pending,pending,pending
enguri-dam,samegrelo-zemo-svaneti,3.5,4,4,0,3,4,passed-2026-08-31,verified-2026-08-31,complete
ertatsminda-cathedral,shida-kartli,3.5,4,4,0,3,4,pending,pending,pending
fabrika-marjanishvili,tbilisi,4.0,2,6,4,1,2,pending,pending,pending
freedom-square-old-parliament,tbilisi,3.0,4,4,0,3,4,pending,pending,pending
gabriadze-theatre-clock-tower,tbilisi,3.0,3,4,1,2,3,pending,pending,pending
gardabani-managed-reserve,kvemo-kartli,4.0,1,6,5,0,1,pending,pending,pending
geguti-palace,imereti,3.5,4,4,0,3,4,pending,pending,pending
gelati-monastery,imereti,5.0,4,8,4,3,4,pending,pending,pending
georgian-national-museum,tbilisi,3.5,4,4,0,3,4,pending,pending,pending
gergeti-trinity-church,mtskheta-mtianeti,5.0,3,8,5,2,2,pending,pending,pending
glola,racha-lechkhumi,4.0,2,6,4,1,2,pending,pending,pending
goderdzi-pass,adjara,4.5,4,7,3,3,4,pending,pending,pending
gogolati,racha-lechkhumi,4.0,1,6,5,0,0,pending,pending,pending
gombori-pass,kakheti,3.5,2,4,2,1,2,pending,pending,pending
gomismta,guria,4.5,3,7,4,2,3,pending,pending,pending
gonio-fortress,adjara,4.0,4,6,2,3,4,pending,pending,pending
gori-fortress-stalin-museum,shida-kartli,5.0,4,8,4,3,4,pending,pending,pending
gori-war-museum,shida-kartli,3.0,4,4,0,3,4,pending,pending,pending
grakliani-hill,shida-kartli,3.5,3,4,1,2,3,pending,pending,pending
green-lake-goderdzi,adjara,4.0,2,6,4,1,2,pending,pending,pending
green-monastery-chitakhevi,samtskhe-javakheti,3.5,4,4,0,3,4,pending,pending,pending
gremi,kakheti,3.5,2,4,2,1,2,pending,pending,pending
grigoleti,guria,4.0,3,6,3,2,3,pending,pending,pending
gudarekhi-monastery,kvemo-kartli,3.5,1,4,3,0,1,pending,pending,pending
gudauri,mtskheta-mtianeti,4.0,3,6,3,2,3,pending,pending,pending
gurjaani-kvelatsminda,kakheti,3.5,2,4,2,1,2,pending,pending,pending
hatsvali-tetnuldi,samegrelo-zemo-svaneti,4.0,6,6,0,5,6,passed-2026-08-31,verified-2026-08-31,complete
holy-trinity-cathedral-sameba,tbilisi,3.5,3,4,1,2,3,pending,pending,pending
ikalto-academy,kakheti,3.5,3,4,1,2,3,pending,pending,pending
ilia-lake,kakheti,4.0,4,6,2,3,4,pending,pending,pending
javakheti-national-park,samtskhe-javakheti,4.0,1,6,5,0,1,pending,pending,pending
jumati-monastery,guria,3.5,3,4,1,2,3,pending,pending,pending
juta-chaukhi,mtskheta-mtianeti,5.0,2,8,6,1,2,pending,pending,pending
jvari-monastery,mtskheta-mtianeti,5.0,4,8,4,3,4,pending,pending,pending
jvari-pass-friendship-monument,mtskheta-mtianeti,4.0,4,6,2,3,4,pending,pending,pending
katskhi-pillar,imereti,3.5,1,4,3,0,1,pending,pending,pending
keda-wine-cellars,adjara,4.0,1,6,5,0,1,pending,pending,pending
khada-valley,mtskheta-mtianeti,4.5,2,7,5,1,2,pending,pending,pending
khareba-wine-tunnel,kakheti,3.5,2,4,2,1,2,pending,pending,pending
khashuri,shida-kartli,3.5,3,4,1,2,3,pending,pending,pending
khertvisi-fortress,samtskhe-javakheti,3.5,4,4,0,3,4,pending,pending,pending
khikhani-fortress,adjara,4.0,4,6,2,3,4,pending,pending,pending
khirsa-monastery,kakheti,3.5,1,4,3,0,1,pending,pending,pending
khobi-monastery,samegrelo-zemo-svaneti,3.5,4,4,0,3,4,passed-2026-08-31,verified-2026-08-31,complete
khornabuji-fortress,kakheti,3.5,4,4,0,3,4,pending,pending,pending
khulo-cable-car-upper-adjara,adjara,4.5,3,7,4,2,3,pending,pending,pending
khvanchkara-wine-zone,racha-lechkhumi,4.0,4,6,2,3,4,pending,pending,pending
kinchkha-waterfall,imereti,4.0,1,6,5,0,1,pending,pending,pending
kintrishi-protected-areas,adjara,4.0,3,6,3,2,3,pending,pending,pending
kintsvisi-monastery,shida-kartli,4.0,2,6,4,1,2,pending,pending,pending
kldekari-fortress,shida-kartli,4.0,1,6,5,0,1,pending,pending,pending
kobuleti,adjara,4.0,4,6,2,3,4,pending,pending,pending
kojori-fortress,kvemo-kartli,4.5,1,7,6,0,1,pending,pending,pending
kolkheti-national-park,samegrelo-zemo-svaneti,5.0,8,8,0,7,8,passed-2026-08-31,verified-2026-08-31,complete
koruldi-lakes,samegrelo-zemo-svaneti,4.5,7,7,0,6,7,passed-2026-08-31,verified-2026-08-31,complete
kukushka-narrow-gauge-railway,samtskhe-javakheti,4.0,3,6,3,2,3,pending,pending,pending
kumisi-lake,kvemo-kartli,4.0,4,6,2,3,4,pending,pending,pending
kumurdo-cathedral,samtskhe-javakheti,3.5,3,4,1,2,3,pending,pending,pending
kutaisi-botanical-garden,imereti,4.0,3,6,3,2,3,pending,pending,pending
kutaisi-historical-museum,imereti,3.0,4,4,0,3,4,pending,pending,pending
kutaisi-jewish-quarter,imereti,3.5,3,4,1,2,3,pending,pending,pending
kvareli-kindzmarauli,kakheti,4.0,4,6,2,3,4,pending,pending,pending
kvariati,adjara,4.0,3,6,3,2,3,pending,pending,pending
kvatakhevi-monastery,shida-kartli,3.5,2,4,2,1,2,pending,pending,pending
kveshi-fortress,kvemo-kartli,3.5,1,4,3,0,1,pending,pending,pending
kvetera-fortress,kakheti,3.5,1,4,3,0,1,pending,pending,pending
lagodekhi-protected-areas,kakheti,4.0,1,6,5,0,1,pending,pending,pending
lanchkhuti,guria,4.0,3,6,3,2,3,pending,pending,pending
latali-matskhvarishi,samegrelo-zemo-svaneti,3.5,4,4,0,3,4,passed-2026-08-31,verified-2026-08-31,complete
lentekhi,racha-lechkhumi,4.0,4,6,2,3,4,pending,pending,pending
likani-palace,samtskhe-javakheti,3.0,2,4,2,1,2,pending,pending,pending
likhauri-church,guria,3.5,1,4,3,0,1,pending,pending,pending
lisi-lake,tbilisi,4.0,2,6,4,1,2,pending,pending,pending
lomisa-church,mtskheta-mtianeti,4.0,2,6,4,1,2,pending,pending,pending
machakhela-national-park,adjara,4.0,1,6,5,0,1,pending,pending,pending
makhuntseti-waterfall,adjara,4.0,1,6,5,0,1,pending,pending,pending
manavi-fortress,kakheti,3.5,1,4,3,0,1,pending,pending,pending
manglisi-cathedral,kvemo-kartli,3.5,2,4,2,1,2,pending,pending,pending
marjanishvili-theatre,tbilisi,4.5,1,7,6,0,1,pending,pending,pending
marneuli,kvemo-kartli,4.0,3,6,3,2,3,pending,pending,pending
martvili-canyon,samegrelo-zemo-svaneti,4.0,6,6,0,5,6,passed-2026-08-31,verified-2026-08-31,complete
mestia,samegrelo-zemo-svaneti,5.0,8,8,0,7,8,passed-2026-08-31,verified-2026-08-31,complete
metekhi-church,tbilisi,3.0,1,4,3,0,1,pending,pending,pending
mgvimevi-monastery,imereti,3.5,4,4,0,3,4,pending,pending,pending
minda-fortress,racha-lechkhumi,4.0,1,6,5,0,1,pending,pending,pending
modinakhe-fortress,imereti,3.5,2,4,2,1,2,pending,pending,pending
motsameta-monastery,imereti,3.5,4,4,0,3,4,pending,pending,pending
mount-khvamli,racha-lechkhumi,4.5,3,7,4,2,3,pending,pending,pending
mravaldzali,racha-lechkhumi,4.0,1,6,5,0,1,pending,pending,pending
mtatsminda-pantheon,tbilisi,3.5,4,4,0,3,4,pending,pending,pending
mtatsminda-park,tbilisi,4.0,4,6,2,3,4,pending,pending,pending
mtirala-national-park,adjara,4.0,4,6,2,3,4,pending,pending,pending
muri-fortress,racha-lechkhumi,3.5,1,4,3,0,1,pending,pending,pending
mutso,mtskheta-mtianeti,4.0,4,6,2,3,4,pending,pending,pending
nabeghlavi,guria,3.5,3,4,1,2,3,pending,pending,pending
nakerala-pass,imereti,4.0,1,6,5,0,1,pending,pending,pending
napareuli,kakheti,4.0,3,6,3,2,3,pending,pending,pending
narikala-fortress,tbilisi,5.0,1,8,7,0,1,pending,pending,pending
navenakhevi-cave,imereti,4.0,3,6,3,2,3,pending,pending,pending
nekresi-monastery,kakheti,4.0,4,6,2,3,4,pending,pending,pending
niko-nikoladze-house-museum,imereti,4.5,2,7,5,1,2,pending,pending,pending
nikortsminda-cathedral,racha-lechkhumi,4.5,1,7,6,0,1,pending,pending,pending
ninotsminda-cathedral,kakheti,3.5,4,4,0,3,4,pending,pending,pending
nodar-dumbadze-house-museum,guria,4.5,2,7,5,1,2,pending,pending,pending
nokalakevi,samegrelo-zemo-svaneti,4.0,6,6,0,5,6,passed-2026-08-31,verified-2026-08-31,complete
nunisi-resort,imereti,4.0,1,6,5,0,1,pending,pending,pending
okatse-canyon,imereti,4.0,2,6,4,1,2,pending,pending,pending
omalo-tusheti,kakheti,5.0,1,8,7,0,1,pending,pending,pending
oni-synagogue,racha-lechkhumi,3.0,2,4,2,1,2,pending,pending,pending
oni,racha-lechkhumi,4.0,2,6,4,1,2,pending,pending,pending
oniore-waterfall,samegrelo-zemo-svaneti,4.0,6,6,0,5,6,passed-2026-08-31,verified-2026-08-31,complete
open-air-museum-of-ethnography,tbilisi,3.5,4,4,0,3,4,pending,pending,pending
ozurgeti,guria,4.0,3,6,3,2,3,pending,pending,pending
pankisi-gorge,kakheti,4.0,3,6,3,2,3,pending,pending,pending
paravani-tabatskuri-lakes,samtskhe-javakheti,4.0,2,6,4,1,2,pending,pending,pending
pasanauri-aragvi-confluence,mtskheta-mtianeti,3.5,4,4,0,3,4,pending,pending,pending
petra-fortress,adjara,3.5,3,4,1,2,3,pending,pending,pending
pitareti-monastery,kvemo-kartli,4.0,1,6,5,0,1,pending,pending,pending
poka-nunnery,samtskhe-javakheti,3.5,5,4,0,4,5,pending,pending,pending
poti,samegrelo-zemo-svaneti,4.0,6,6,0,5,6,passed-2026-08-31,verified-2026-08-31,complete
prometheus-cave,imereti,5.0,4,8,4,3,4,pending,pending,pending
rabati-castle,samtskhe-javakheti,5.0,4,8,4,3,4,pending,pending,pending
rkoni-monastery,shida-kartli,4.0,4,6,2,3,4,pending,pending,pending
ruisi-cathedral,shida-kartli,3.5,4,4,0,3,4,pending,pending,pending
rukhi-fortress,samegrelo-zemo-svaneti,3.0,4,4,0,3,4,passed-2026-08-31,verified-2026-08-31,complete
rustaveli-avenue,tbilisi,4.0,4,6,2,3,4,pending,pending,pending
rustaveli-national-theatre,tbilisi,4.5,1,7,6,0,1,pending,pending,pending
rustavi,kvemo-kartli,4.0,4,6,2,3,4,pending,pending,pending
sairme-resort,imereti,4.0,4,6,2,3,4,pending,pending,pending
salkhino-palace,samegrelo-zemo-svaneti,3.0,4,4,0,3,4,passed-2026-08-31,verified-2026-08-31,complete
sameba-jikheti-monastery,guria,4.5,4,7,3,3,4,pending,pending,pending
samshvilde,kvemo-kartli,4.0,4,6,2,3,4,pending,pending,pending
samtavisi-cathedral,shida-kartli,3.5,2,4,2,1,2,pending,pending,pending
samtavro-monastery,mtskheta-mtianeti,5.0,4,8,4,3,4,pending,pending,pending
samtsevrisi-church,shida-kartli,3.5,4,4,0,3,4,pending,pending,pending
sapara-monastery,samtskhe-javakheti,4.0,2,6,4,1,2,pending,pending,pending
sarpi-beach,adjara,4.0,1,6,5,0,1,pending,pending,pending
sataplia-nature-reserve,imereti,4.0,2,6,4,1,2,pending,pending,pending
shaori-reservoir,racha-lechkhumi,5.0,5,8,3,4,5,pending,pending,pending
shatili,mtskheta-mtianeti,4.0,4,6,2,3,4,pending,pending,pending
shekvetili-black-sea-arena,guria,4.0,2,6,4,1,2,pending,pending,pending
shekvetili-dendrological-park,guria,4.0,2,6,4,1,2,pending,pending,pending
shemokmedi-monastery,guria,3.5,2,4,2,1,2,pending,pending,pending
shenako-diklo,kakheti,4.5,4,7,3,3,4,pending,pending,pending
shiomghvime-monastery,mtskheta-mtianeti,3.5,2,4,2,1,2,pending,pending,pending
shkhara-glacier,samegrelo-zemo-svaneti,5.0,8,8,0,7,8,passed-2026-08-31,verified-2026-08-31,complete
shorapani-fortress,imereti,3.5,1,4,3,0,1,pending,pending,pending
shovi-resort,racha-lechkhumi,4.5,5,7,2,4,5,pending,pending,pending
shukhuti-lelo-burti,guria,4.0,3,6,3,2,3,pending,pending,pending
sighnaghi,kakheti,5.0,3,8,5,2,3,pending,pending,pending
sioni-cathedral,tbilisi,3.0,3,4,1,2,3,pending,pending,pending
skhalta-monastery,adjara,3.5,4,4,0,3,4,pending,pending,pending
skhvitori-akaki-tsereteli-museum,imereti,3.0,2,4,2,1,2,pending,pending,pending
sno-valley,mtskheta-mtianeti,4.0,2,6,4,1,2,pending,pending,pending
sololaki-art-nouveau,tbilisi,3.5,2,4,2,1,2,pending,pending,pending
surami-fortress,shida-kartli,3.5,4,4,0,3,4,pending,pending,pending
svaneti-museum-mestia,samegrelo-zemo-svaneti,3.0,4,4,0,3,4,passed-2026-08-31,verified-2026-08-31,complete
svetitskhoveli-cathedral,mtskheta-mtianeti,5.0,2,8,6,1,2,pending,pending,pending
takhti-tepha-mud-volcanoes,kakheti,4.0,2,6,4,1,2,pending,pending,pending
tbilisi-botanical-garden,tbilisi,4.0,2,6,4,1,2,pending,pending,pending
tbilisi-opera-ballet-theatre,tbilisi,5.0,1,8,7,0,1,pending,pending,pending
tbilisi-sea,tbilisi,4.5,2,7,5,1,2,pending,pending,pending
tbilisi-silk-museum,tbilisi,3.0,2,4,2,1,2,pending,pending,pending
telavi-batonis-tsikhe,kakheti,4.0,4,6,2,3,4,pending,pending,pending
telefisi-fortress,imereti,3.5,2,4,2,1,2,pending,pending,pending
tianeti,mtskheta-mtianeti,4.0,3,6,3,2,3,pending,pending,pending
timotesubani-monastery,samtskhe-javakheti,3.5,4,4,0,3,4,pending,pending,pending
tkibuli-reservoir,imereti,4.0,2,6,4,1,2,pending,pending,pending
tmogvi-fortress,samtskhe-javakheti,4.0,2,6,4,1,2,pending,pending,pending
tobavarchkhili-lakes,samegrelo-zemo-svaneti,4.5,7,7,0,6,7,passed-2026-08-31,verified-2026-08-31,complete
truso-valley,mtskheta-mtianeti,4.5,3,7,4,2,3,pending,pending,pending
tsageri,racha-lechkhumi,4.0,3,6,3,2,3,pending,pending,pending
tsaishi-cathedral,samegrelo-zemo-svaneti,3.0,4,4,0,3,4,passed-2026-08-31,verified-2026-08-31,complete
tsalenjikha-cathedral,samegrelo-zemo-svaneti,3.5,4,4,0,3,4,passed-2026-08-31,verified-2026-08-31,complete
tsalka-reservoir,kvemo-kartli,4.0,3,6,3,2,3,pending,pending,pending
tsinandali-estate,kakheti,3.5,4,4,0,3,4,pending,pending,pending
tsitsinatela-amusement-park,guria,4.0,2,6,4,1,2,pending,pending,pending
tskaltubo-spa-town,imereti,4.0,1,6,5,0,1,pending,pending,pending
tsromi-church,shida-kartli,3.5,4,4,0,3,4,pending,pending,pending
tsughrughasheni-church,kvemo-kartli,3.5,2,4,2,1,2,pending,pending,pending
tsutskhvati-caves,imereti,4.0,1,6,5,0,0,pending,pending,pending
turtle-lake-vake-park,tbilisi,4.0,4,6,2,3,4,pending,pending,pending
ubisa-monastery,imereti,3.5,1,4,3,0,1,pending,pending,pending
udziro-lake-buba-glacier,racha-lechkhumi,5.0,4,8,4,3,4,pending,pending,pending
ujarma-fortress,kakheti,3.5,4,4,0,3,4,pending,pending,pending
uplistsikhe,shida-kartli,5.0,2,8,6,1,2,pending,pending,pending
urbnisi-cathedral,shida-kartli,3.5,4,4,0,3,4,pending,pending,pending
ureki,guria,5.0,2,8,6,1,2,pending,pending,pending
ushguli,samegrelo-zemo-svaneti,5.0,8,8,0,7,8,passed-2026-08-31,verified-2026-08-31,complete
utsera,racha-lechkhumi,3.0,2,4,2,1,2,pending,pending,pending
vani-archaeological-museum,imereti,3.5,2,4,2,1,2,pending,pending,pending
vanis-kvabebi,samtskhe-javakheti,4.0,3,6,3,2,3,pending,pending,pending
vardzia,samtskhe-javakheti,5.0,3,8,5,2,3,pending,pending,pending
vashlovani-national-park,kakheti,4.5,3,7,4,2,3,pending,pending,pending
waterfall-of-love-racha,racha-lechkhumi,3.5,1,4,3,0,0,pending,pending,pending
zando-st-george-monastery,imereti,4.0,2,6,4,1,2,pending,pending,pending
zarzma-monastery,samtskhe-javakheti,3.5,2,4,2,1,2,pending,pending,pending
zedazeni-monastery,mtskheta-mtianeti,3.5,2,4,2,1,2,pending,pending,pending
zhinvali-reservoir,mtskheta-mtianeti,3.5,3,4,1,2,3,pending,pending,pending
zoti,guria,4.0,1,6,5,0,1,pending,pending,pending
zugdidi-botanical-garden,samegrelo-zemo-svaneti,4.0,6,6,0,5,6,passed-2026-08-31,verified-2026-08-31,complete
